,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,status.type.altDetail,season
0,280105026,s:20~l:28~e:280105026~c:280105026,2008-01-05T21:30Z,68297,True,False,False,False,2008-01-05T21:30Z,1,STD,3673,Lumen Field,Seattle,WA,68740.0,False,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,26,s:20~l:28~t:26,Seattle,Seahawks,SEA,Seattle Seahawks,Seahawks,224970,69be28,True,3673,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sea.png,28,s:20~l:28~t:28,Washington,Redskins,WSH,Washington Redskins,Redskins,650415,650415,False,3719,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/wsh.png,,2008
0,280105023,s:20~l:28~e:280105023~c:280105023,2008-01-06T01:00Z,63629,True,False,False,False,2008-01-06T01:00Z,1,STD,3752,Heinz Field,Pittsburgh,PA,68400.0,False,20.0,0:20,4,3,STATUS_FINAL,post,True,Final,Final,Final,23,s:20~l:28~t:23,Pittsburgh,Steelers,PIT,Pittsburgh Steelers,Steelers,000000,ffb612,True,3752,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/pit.png,30,s:20~l:28~t:30,Jacksonville,Jaguars,JAX,Jacksonville Jaguars,Jaguars,00839C,000000,True,3712,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,,2008
0,280106027,s:20~l:28~e:280106027~c:280106027,2008-01-06T18:00Z,65621,True,False,False,False,2008-01-06T18:00Z,1,STD,3886,Raymond James Stadium,Tampa,FL,65618.0,False,7.0,0:07,4,3,STATUS_FINAL,post,True,Final,Final,Final,27,s:20~l:28~t:27,Tampa Bay,Buccaneers,TB,Tampa Bay Buccaneers,Buccaneers,A80D08,34302b,True,3886,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/tb.png,19,s:20~l:28~t:19,New York,Giants,NYG,New York Giants,Giants,052570,ffffff,True,3839,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,,2008
0,280106024,s:20~l:28~e:280106024~c:280106024,2008-01-06T21:30Z,65640,True,False,False,False,2008-01-06T21:30Z,1,STD,3932,SDCCU Stadium,San Diego,CA,71294.0,False,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,24,s:20~l:28~t:24,San Diego,Chargers,SD,San Diego Chargers,Chargers,042453,0073cf,False,3932,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sd.png,10,s:20~l:28~t:10,Tennessee,Titans,TEN,Tennessee Titans,Titans,2F95DD,4b92db,True,3810,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ten.png,,2008
0,280112009,s:20~l:28~e:280112009~c:280112009,2008-01-12T21:30Z,72168,True,False,False,False,2008-01-12T21:30Z,1,STD,3798,Lambeau Field,Green Bay,WI,81441.0,False,44.0,0:44,4,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:20~l:28~t:9,Green Bay,Packers,GB,Green Bay Packers,Packers,204E32,ffb612,True,3798,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/gb.png,26,s:20~l:28~t:26,Seattle,Seahawks,SEA,Seattle Seahawks,Seahawks,224970,69be28,True,3673,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sea.png,,2008
0,280112017,s:20~l:28~e:280112017~c:280112017,2008-01-13T01:00Z,68756,True,False,False,False,2008-01-13T01:00Z,1,STD,3738,Gillette Stadium,Foxboro,MA,65878.0,False,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:20~l:28~t:17,New England,Patriots,NE,New England Patriots,Patriots,02244A,b0b7bc,True,3738,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ne.png,30,s:20~l:28~t:30,Jacksonville,Jaguars,JAX,Jacksonville Jaguars,Jaguars,00839C,000000,True,3712,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,,2008
0,280113011,s:20~l:28~e:280113011~c:280113011,2008-01-13T18:00Z,56950,True,False,False,False,2008-01-13T18:00Z,1,STD,,,,,,,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,11,s:20~l:28~t:11,Indianapolis,Colts,IND,Indianapolis Colts,Colts,00417E,ffffff,True,3812,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png,24,s:20~l:28~t:24,San Diego,Chargers,SD,San Diego Chargers,Chargers,042453,0073cf,False,3932,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sd.png,,2008
0,280113006,s:20~l:28~e:280113006~c:280113006,2008-01-13T21:30Z,63660,True,False,False,False,2008-01-13T21:30Z,1,STD,3954,Texas Stadium,Irving,TX,65846.0,False,9.0,0:09,4,3,STATUS_FINAL,post,True,Final,Final,Final,6,s:20~l:28~t:6,Dallas,Cowboys,DAL,Dallas Cowboys,Cowboys,002E4D,b0b7bc,True,3687,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/dal.png,19,s:20~l:28~t:19,New York,Giants,NYG,New York Giants,Giants,052570,ffffff,True,3839,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,,2008
0,280120017,s:20~l:28~e:280120017~c:280120017,2008-01-20T20:00Z,68756,True,False,False,False,2008-01-20T20:00Z,1,STD,3738,Gillette Stadium,Foxboro,MA,65878.0,False,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:20~l:28~t:17,New England,Patriots,NE,New England Patriots,Patriots,02244A,b0b7bc,True,3738,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ne.png,24,s:20~l:28~t:24,San Diego,Chargers,SD,San Diego Chargers,Chargers,042453,0073cf,False,3932,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sd.png,,2008
0,280120009,s:20~l:28~e:280120009~c:280120009,2008-01-20T23:30Z,72740,True,False,False,False,2008-01-20T23:30Z,1,STD,3798,Lambeau Field,Green Bay,WI,81441.0,False,0.0,0:00,5,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,9,s:20~l:28~t:9,Green Bay,Packers,GB,Green Bay Packers,Packers,204E32,ffb612,True,3798,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/gb.png,19,s:20~l:28~t:19,New York,Giants,NYG,New York Giants,Giants,052570,ffffff,True,3839,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,OT,2008
