,id,uid,date,timeValid,neutralSite,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.address.country,venue.capacity,venue.indoor,status.clock,status.displayClock,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,season
0,241021015,s:70~l:90~e:241021015~c:241021015,2004-10-21T23:00Z,True,False,False,[],2004-10-21T23:00Z,1,STD,1845,Wells Fargo Center,Philadelphia,PA,USA,19500.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,15,s:70~l:90~t:15,Philadelphia,Flyers,PHI,Philadelphia Flyers,Flyers,eb7131,000000,True,1845,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/phi.png,7,s:70~l:90~t:7,Carolina,Hurricanes,CAR,Carolina Hurricanes,Hurricanes,e51937,161313,True,999,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/car.png,2005
0,241021023,s:70~l:90~e:241021023~c:241021023,2004-10-21T23:00Z,True,False,False,[],2004-10-21T23:00Z,1,STD,1823,Capital One Arena,Washington,DC,USA,18398.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,23,s:70~l:90~t:23,Washington,Capitals,WSH,Washington Capitals,Capitals,d01b35,002d62,True,1823,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/wsh.png,10,s:70~l:90~t:10,Montreal,Canadiens,MTL,Montreal Canadiens,Canadiens,a3121b,001e62,True,1831,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/mtl.png,2005
0,241021029,s:70~l:90~e:241021029~c:241021029,2004-10-21T23:00Z,True,False,False,[],2004-10-21T23:00Z,1,STD,1828,Nationwide Arena,Columbus,OH,USA,18136.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,29,s:70~l:90~t:29,Columbus,Blue Jackets,CBJ,Columbus Blue Jackets,Blue Jackets,002d62,cd202c,True,1828,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/cbj.png,17,s:70~l:90~t:17,Colorado,Avalanche,COL,Colorado Avalanche,Avalanche,860038,11497f,True,892,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/col.png,2005
0,241021014,s:70~l:90~e:241021014~c:241021014,2004-10-21T23:30Z,True,False,False,[],2004-10-21T23:30Z,1,STD,1832,Canadian Tire Centre,Ottawa,ON,Canada,18500.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,14,s:70~l:90~t:14,Ottawa,Senators,OTT,Ottawa Senators,Senators,d01b35,c89a1c,True,1832,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/ott.png,21,s:70~l:90~t:21,Toronto,Maple Leafs,TOR,Toronto Maple Leafs,Maple Leafs,003e7e,f0f0f0,True,1838,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/tor.png,2005
0,241021028,s:70~l:90~e:241021028~c:241021028,2004-10-21T23:30Z,True,False,False,[],2004-10-21T23:30Z,1,STD,1827,State Farm Arena,Atlanta,GA,USA,18545.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,28,s:70~l:90~t:28,Winnipeg,Jets,ATL,Winnipeg Jets,Jets,133866,b81f3d,True,1827,https://a.espncdn.com/i/teamlogos/nhl/500/atl.png,2,s:70~l:90~t:2,Buffalo,Sabres,BUF,Buffalo Sabres,Sabres,002d62,fdba31,True,1848,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/buf.png,2005
0,241021027,s:70~l:90~e:241021027~c:241021027,2004-10-22T00:00Z,True,False,False,[],2004-10-22T00:00Z,1,STD,1834,Bridgestone Arena,Nashville,TN,USA,17113.0,True,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,27,s:70~l:90~t:27,Nashville,Predators,NSH,Nashville Predators,Predators,fdba31,002d62,True,1834,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/nsh.png,18,s:70~l:90~t:18,San Jose,Sharks,SJ,San Jose Sharks,Sharks,10535e,eb901d,True,1653,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/sj.png,2005
0,241021003,s:70~l:90~e:241021003~c:241021003,2004-10-22T01:00Z,True,False,False,[],2004-10-22T01:00Z,1,STD,1843,Scotiabank Saddledome,Calgary,AB,Canada,19289.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,3,s:70~l:90~t:3,Calgary,Flames,CGY,Calgary Flames,Flames,e51937,231f20,True,1843,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/cgy.png,19,s:70~l:90~t:19,St. Louis,Blues,STL,St. Louis Blues,Blues,073585,d9ae26,True,1839,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/stl.png,2005
0,241021006,s:70~l:90~e:241021006~c:241021006,2004-10-22T01:00Z,True,False,False,[],2004-10-22T01:00Z,1,STD,1846,Rexall Place,Edmonton,AB,Canada,16839.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,6,s:70~l:90~t:6,Edmonton,Oilers,EDM,Edmonton Oilers,Oilers,003e7e,eb6e1f,True,5282,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/edm.png,30,s:70~l:90~t:30,Minnesota,Wild,MIN,Minnesota Wild,Wild,004725,c41230,True,1835,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/min.png,2005
0,241021024,s:70~l:90~e:241021024~c:241021024,2004-10-22T02:00Z,True,False,False,[],2004-10-22T02:00Z,1,STD,1829,Gila River Arena,Glendale,AZ,USA,17125.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,24,s:70~l:90~t:24,Arizona,Coyotes,PHX,Arizona Coyotes,Coyotes,770c1d,231f20,True,1829,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/phx.png,20,s:70~l:90~t:20,Tampa Bay,Lightning,TB,Tampa Bay Lightning,Lightning,003d7c,b2b7bb,True,1396,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/tb.png,2005
0,241022005,s:70~l:90~e:241022005~c:241022005,2004-10-22T23:30Z,True,False,False,[],2004-10-22T23:30Z,1,STD,1836,Joe Louis Arena,Detroit,MI,USA,20066.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,5,s:70~l:90~t:5,Detroit,Red Wings,DET,Detroit Red Wings,Red Wings,e51937,ebebeb,True,5404,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/det.png,4,s:70~l:90~t:4,Chicago,Blackhawks,CHI,Chicago Blackhawks,Blackhawks,c8102e,1b1718,True,1847,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/chi.png,2005
