,id,uid,date,attendance,timeValid,neutralSite,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.address.country,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,status.featuredAthletes,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,status.type.altDetail,season,tickets,odds
0,401272831,s:70~l:90~e:401272831~c:401272831,2021-04-23T23:00Z,,True,False,False,[],2021-04-23T23:00Z,1,STD,1830,Madison Square Garden,New York,NY,USA,18006.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Fri, April 23rd at 7:00 PM EDT",4/23 - 7:00 PM EDT,,13,s:70~l:90~t:13,New York,Rangers,NYR,New York Rangers,Rangers,0056ae,e51937,True,1830,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/nyr.png,15,s:70~l:90~t:15,Philadelphia,Flyers,PHI,Philadelphia Flyers,Flyers,eb7131,000000,True,1845,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/phi.png,,2021,"[{'summary': 'Tickets as low as $373', 'numberAvailable': 44, 'links': [{'href': 'https://www.vividseats.com/nhl-hockey/new-york-rangers-tickets/rangers-vs-flyers-4-23-3552448.html?wsUser=717'}, {'href': 'https://www.vividseats.com/venues/madison-square-garden-tickets.html?wsUser=717'}]}]",
0,401272832,s:70~l:90~e:401272832~c:401272832,2021-04-24T00:00Z,,True,False,False,[],2021-04-24T00:00Z,1,STD,1847,United Center,Chicago,IL,USA,19717.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Fri, April 23rd at 8:00 PM EDT",4/23 - 8:00 PM EDT,,4,s:70~l:90~t:4,Chicago,Blackhawks,CHI,Chicago Blackhawks,Blackhawks,c8102e,1b1718,True,1847,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/chi.png,27,s:70~l:90~t:27,Nashville,Predators,NSH,Nashville Predators,Predators,fdba31,002d62,True,1834,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/nsh.png,,2021,,
0,401272833,s:70~l:90~e:401272833~c:401272833,2021-04-24T00:00Z,,True,False,False,[],2021-04-24T00:00Z,1,STD,1397,Bell MTS Place,Winnipeg,MB,Canada,15004.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Fri, April 23rd at 8:00 PM EDT",4/23 - 8:00 PM EDT,,28,s:70~l:90~t:28,Winnipeg,Jets,WPG,Winnipeg Jets,Jets,133866,b81f3d,True,1827,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/wpg.png,21,s:70~l:90~t:21,Toronto,Maple Leafs,TOR,Toronto Maple Leafs,Maple Leafs,003e7e,f0f0f0,True,1838,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/tor.png,,2021,,
0,401283728,s:70~l:90~e:401283728~c:401283728,2021-04-24T02:00Z,,True,False,False,[],2021-04-24T02:00Z,1,STD,1842,Honda Center,Anaheim,CA,USA,17174.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Fri, April 23rd at 10:00 PM EDT",4/23 - 10:00 PM EDT,,25,s:70~l:90~t:25,Anaheim,Ducks,ANA,Anaheim Ducks,Ducks,231f20,b5985a,True,1842,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/ana.png,37,s:70~l:90~t:37,Vegas,Golden Knights,VGS,Vegas Golden Knights,Golden Knights,333f42,b5985a,True,5060,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/vgs.png,,2021,,
0,401298873,s:70~l:90~e:401298873~c:401298873,2021-04-24T02:00Z,,True,False,False,[],2021-04-24T02:00Z,1,STD,1841,STAPLES Center,Los Angeles,CA,USA,18118.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Fri, April 23rd at 10:00 PM EDT",4/23 - 10:00 PM EDT,,8,s:70~l:90~t:8,Los Angeles,Kings,LA,Los Angeles Kings,Kings,231f20,b0b7bc,True,1841,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/la.png,30,s:70~l:90~t:30,Minnesota,Wild,MIN,Minnesota Wild,Wild,004725,c41230,True,1835,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/min.png,,2021,,
0,401272838,s:70~l:90~e:401272838~c:401272838,2021-04-24T16:30Z,,True,False,False,[],2021-04-24T16:30Z,1,STD,1837,PPG Paints Arena,Pittsburgh,PA,USA,18087.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, April 24th at 12:30 PM EDT",4/24 - 12:30 PM EDT,,16,s:70~l:90~t:16,Pittsburgh,Penguins,PIT,Pittsburgh Penguins,Penguins,231f20,f0b128,True,1837,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/pit.png,11,s:70~l:90~t:11,New Jersey,Devils,NJ,New Jersey Devils,Devils,cd2427,1a1617,True,2562,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/nj.png,,2021,,
0,401272840,s:70~l:90~e:401272840~c:401272840,2021-04-24T19:00Z,,True,False,False,[],2021-04-24T19:00Z,1,STD,1839,Enterprise Center,Saint Louis,MO,USA,18096.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, April 24th at 3:00 PM EDT",4/24 - 3:00 PM EDT,,19,s:70~l:90~t:19,St. Louis,Blues,STL,St. Louis Blues,Blues,073585,d9ae26,True,1839,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/stl.png,17,s:70~l:90~t:17,Colorado,Avalanche,COL,Colorado Avalanche,Avalanche,860038,11497f,True,892,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/col.png,,2021,,
0,401272836,s:70~l:90~e:401272836~c:401272836,2021-04-24T23:00Z,,True,False,False,[],2021-04-24T23:00Z,1,STD,3559,Barclays Center,Brooklyn,NY,USA,15813.0,True,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, April 24th at 7:00 PM EDT",4/24 - 7:00 PM EDT,,12,s:70~l:90~t:12,New York,Islanders,NYI,New York Islanders,Islanders,10539c,e17033,True,1825,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/nyi.png,23,s:70~l:90~t:23,Washington,Capitals,WSH,Washington Capitals,Capitals,d01b35,002d62,True,1823,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/wsh.png,,2021,,
0,401272837,s:70~l:90~e:401272837~c:401272837,2021-04-24T23:00Z,,True,False,False,[],2021-04-24T23:00Z,1,STD,1840,BB&T Center,Sunrise,FL,USA,19250.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, April 24th at 7:00 PM EDT",4/24 - 7:00 PM EDT,,26,s:70~l:90~t:26,Florida,Panthers,FLA,Florida Panthers,Panthers,002a5c,d81834,True,1840,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/fla.png,7,s:70~l:90~t:7,Carolina,Hurricanes,CAR,Carolina Hurricanes,Hurricanes,e51937,161313,True,999,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/car.png,,2021,"[{'summary': 'Tickets as low as $53', 'numberAvailable': 629, 'links': [{'href': 'https://www.vividseats.com/nhl-hockey/florida-panthers-tickets/panthers-vs-hurricanes-4-24-3552394.html?wsUser=717'}, {'href': 'https://www.vividseats.com/venues/bbt-center-tickets.html?wsUser=717'}]}]",
0,401272839,s:70~l:90~e:401272839~c:401272839,2021-04-24T23:00Z,,True,False,False,[],2021-04-24T23:00Z,1,STD,5404,Little Caesars Arena,Detroit,MI,USA,20000.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, April 24th at 7:00 PM EDT",4/24 - 7:00 PM EDT,,5,s:70~l:90~t:5,Detroit,Red Wings,DET,Detroit Red Wings,Red Wings,e51937,ebebeb,True,5404,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/det.png,9,s:70~l:90~t:9,Dallas,Stars,DAL,Dallas Stars,Stars,00704a,8c9192,True,516,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/dal.png,,2021,"[{'summary': 'Tickets as low as $441', 'numberAvailable': 4, 'links': [{'href': 'https://www.vividseats.com/nhl-hockey/detroit-red-wings-tickets/red-wings-vs-stars-4-24-3552136.html?wsUser=717'}, {'href': 'https://www.vividseats.com/venues/little-caesars-arena-tickets.html?wsUser=717'}]}]",
