,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.isActive,away.venue.id,season,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors,away.color,away.alternateColor,away.logo,status.type.altDetail
0,220515015,s:40~l:59~e:220515015~c:220515015,2002-05-16T01:00Z,0,True,False,False,True,[],2002-05-16T01:00Z,18,EXH,0.0,0.0,0,0,STATUS_TBD,pre,False,TBD,TBD,TBD,15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,,,True,,,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,True,2184,2002,,,,,,,,,,,,,05452a,f7c43c,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,
0,220517003,s:40~l:59~e:220517003~c:220517003,2002-05-17T23:00Z,0,True,False,False,True,[],2002-05-17T23:00Z,18,EXH,0.0,0.0,0,0,STATUS_TBD,pre,False,TBD,TBD,TBD,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,True,1841,2002,,,,,,,,,,,,,532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,
0,220518009,s:40~l:59~e:220518009~c:220518009,2002-05-18T20:00Z,0,True,False,False,True,[],2002-05-18T20:00Z,18,EXH,0.0,0.0,0,0,STATUS_TBD,pre,False,TBD,TBD,TBD,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,True,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,True,,2002,,,,,,,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,
0,220518013,s:40~l:59~e:220518013~c:220518013,2002-05-18T21:00Z,0,True,False,False,True,[],2002-05-18T21:00Z,18,EXH,0.0,0.0,0,0,STATUS_TBD,pre,False,TBD,TBD,TBD,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,True,2184,2002,,,,,,,,,,,,,05452a,f7c43c,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,
0,220518001,s:40~l:59~e:220518001~c:220518001,2002-05-18T22:00Z,0,True,False,False,True,[],2002-05-18T22:00Z,18,EXH,0.0,0.0,0,0,STATUS_TBD,pre,False,TBD,TBD,TBD,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,True,2029,2002,,,,,,,,,,,,,005084,47a757,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,
0,220518007,s:40~l:59~e:220518007~c:220518007,2002-05-18T23:00Z,0,True,False,False,True,[],2002-05-18T23:00Z,18,EXH,0.0,0.0,0,0,STATUS_TBD,pre,False,TBD,TBD,TBD,7,s:40~l:59~t:7,Miami,Sol,MIA,Miami Sol,Sol,,,True,3438,,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,True,1949,2002,1844,Pepsi Center,Denver,CO,19099.0,False,,,,,,,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,
0,220519014,s:40~l:59~e:220519014~c:220519014,2002-05-19T22:30Z,0,True,False,False,True,[],2002-05-19T22:30Z,18,EXH,0.0,0.0,0,0,STATUS_TBD,pre,False,TBD,TBD,TBD,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,True,,2002,3438,AmericanAirlines Arena,Miami,FL,19600.0,True,,,,,,,,,,
0,220519010,s:40~l:59~e:220519010~c:220519010,2002-05-19T23:30Z,0,True,False,False,True,[],2002-05-19T23:30Z,18,EXH,0.0,0.0,0,0,STATUS_TBD,pre,False,TBD,TBD,TBD,10,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,,,True,,,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,True,1841,2002,,,,,,,,,,,,,532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,
0,220519012,s:40~l:59~e:220519012~c:220519012,2002-05-20T02:00Z,0,True,False,False,True,[],2002-05-20T02:00Z,18,EXH,0.0,0.0,0,0,STATUS_TBD,pre,False,TBD,TBD,TBD,12,s:40~l:59~t:12,Portland,Fire,POR,Portland Fire,Fire,,,True,3423,,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,True,,2002,1841,STAPLES Center,Los Angeles,CA,19068.0,True,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,
0,220520001,s:40~l:59~e:220520001~c:220520001,2002-05-20T23:00Z,0,True,False,False,True,[],2002-05-20T23:00Z,18,EXH,0.0,0.0,0,0,STATUS_TBD,pre,False,TBD,TBD,TBD,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,True,3417,2002,,,,,,,,,,,,,,,,
