,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,season
0,401082470,s:40~l:41~e:401082470~c:401082470,2018-11-07T00:00Z,18907,True,True,False,False,"[{'type': 'event', 'headline': 'STATE FARM CHAMPIONS CLASSIC'}]",2018-11-07T00:00Z,0,N/A,2183,Bankers Life Fieldhouse,Indianapolis,IN,17923,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2305,s:40~l:41~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0022B4,e8000d,True,2171,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,8,127,s:40~l:41~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan State,18453B,ffffff,True,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,,,,,,,2019
0,401082669,s:40~l:41~e:401082669~c:401082669,2018-11-07T03:03Z,18907,True,True,False,False,"[{'type': 'event', 'headline': 'STATE FARM CHAMPIONS CLASSIC'}]",2018-11-07T03:03Z,0,N/A,2183,Bankers Life Fieldhouse,Indianapolis,IN,17923,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,96,s:40~l:41~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,True,251,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3,True,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,,,,,,,2019
0,401083627,s:40~l:41~e:401083627~c:401083627,2018-11-07T02:00Z,6000,True,False,False,False,[],2018-11-07T02:00Z,0,N/A,1979,McCarthey Athletic Center,Spokane,WA,6000,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2250,s:40~l:41~t:2250,Gonzaga,Bulldogs,GONZ,Gonzaga Bulldogs,Gonzaga,002967,cfd4d8,True,1979,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,29,304,s:40~l:41~t:304,Idaho State,Bengals,IDST,Idaho State Bengals,Idaho State,ef8c00,e9a126,True,1904,https://a.espncdn.com/i/teamlogos/ncaa/500/304.png,5,,,,,,,2019
0,401082762,s:40~l:41~e:401082762~c:401082762,2018-11-07T00:00Z,13807,True,False,False,False,[],2018-11-07T00:00Z,0,N/A,1927,John Paul Jones Arena,Charlottesville,VA,14593,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,258,s:40~l:41~t:258,Virginia,Cavaliers,UVA,Virginia Cavaliers,Virginia,f84c1e,ffffff,True,1927,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,2,119,s:40~l:41~t:119,Towson,Tigers,TOW,Towson Tigers,Towson,FFC229,,True,4603,https://a.espncdn.com/i/teamlogos/ncaa/500/119.png,10,,,,,,,2019
0,401082974,s:40~l:41~e:401082974~c:401082974,2018-11-07T00:00Z,16156,True,False,False,False,[],2018-11-07T00:00Z,0,N/A,2044,Thompson-Boling Arena,Knoxville,TN,21678,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2633,s:40~l:41~t:2633,Tennessee,Volunteers,TENN,Tennessee Volunteers,Tennessee,EE9627,ffffff,True,2044,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,23,2331,s:40~l:41~t:2331,Lenoir Rhyne,Bears,LAG,Lenoir Rhyne Bears,Lenoir Rhyne,000000,,False,,https://a.espncdn.com/i/teamlogos/ncaa/500/2331.png,,,,,,,,2019
0,401083597,s:40~l:41~e:401083597~c:401083597,2018-11-07T04:00Z,11094,True,False,False,False,[],2018-11-07T04:00Z,0,N/A,461,Lawlor Events Center,Reno,NV,11536,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2440,s:40~l:41~t:2440,Nevada,Wolf Pack,NEV,Nevada Wolf Pack,Nevada,153E5F,8e9295,True,461,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,44,252,s:40~l:41~t:252,BYU,Cougars,BYU,BYU Cougars,BYU,001E4C,ffffff,True,2108,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,29,,,,,,,2019
0,401082853,s:40~l:41~e:401082853~c:401082853,2018-11-07T00:00Z,3400,True,False,False,False,[],2018-11-07T00:00Z,0,N/A,5426,Jerry Richardson Indoor Stadium,Spartanburg,SC,3400,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2747,s:40~l:41~t:2747,Wofford,Terriers,WOF,Wofford Terriers,Wofford,533B22,f0f0f0,True,5426,https://a.espncdn.com/i/teamlogos/ncaa/500/2747.png,24,153,s:40~l:41~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,99bfe5,13294b,True,207,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,,,,,,,2019
0,401083350,s:40~l:41~e:401083350~c:401083350,2018-11-07T00:00Z,6501,True,False,False,False,[],2018-11-07T00:00Z,0,N/A,1969,Finneran Pavilion,Villanova,PA,6500,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,222,s:40~l:41~t:222,Villanova,Wildcats,VILL,Villanova Wildcats,Villanova,123d7C,f0f0f0,True,1969,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png,4,2415,s:40~l:41~t:2415,Morgan St,Bears,MORG,Morgan St Bears,Morgan State,014786,f47937,True,2021,https://a.espncdn.com/i/teamlogos/ncaa/500/2415.png,16,,,,,,,2019
0,401083163,s:40~l:41~e:401083163~c:401083163,2018-11-07T02:00Z,7754,True,False,False,False,[],2018-11-07T02:00Z,0,N/A,1953,Auburn Arena,Auburn,AL,9121,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,s:40~l:41~t:2,Auburn,Tigers,AUB,Auburn Tigers,Auburn,03244d,f1f2f3,True,1953,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,23,6,s:40~l:41~t:6,South Alabama,Jaguars,USA,South Alabama Jaguars,South Alabama,003E7E,,True,2193,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,27,,,,,,,2019
0,401086810,s:40~l:41~e:401086810~c:401086810,2018-11-07T04:00Z,8212,True,False,False,False,[],2018-11-07T04:00Z,0,N/A,1977,Matthew Knight Arena,Eugene,OR,12364,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2483,s:40~l:41~t:2483,Oregon,Ducks,ORE,Oregon Ducks,Oregon,044520,fee123,True,1977,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,21,2502,s:40~l:41~t:2502,Portland State,Vikings,PRST,Portland State Vikings,Portland State,00311e,ebebeb,True,6020,https://a.espncdn.com/i/teamlogos/ncaa/500/2502.png,5,,,,,,,2019
0,401082781,s:40~l:41~e:401082781~c:401082781,2018-11-07T00:00Z,19912,True,False,False,False,"[{'type': 'event', 'headline': '2K EMPIRE CLASSIC - CAMPUS GAME'}]",2018-11-07T00:00Z,0,N/A,1964,Carrier Dome,Syracuse,NY,34616,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,F37321,0d1d37,True,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,2,331,s:40~l:41~t:331,Eastern Washington,Eagles,EWU,Eastern Washington Eagles,E Washington,a10022,abb4bc,True,1959,https://a.espncdn.com/i/teamlogos/ncaa/500/331.png,5,,,,,,,2019
0,401082695,s:40~l:41~e:401082695~c:401082695,2018-11-07T02:00Z,11103,True,False,False,False,[],2018-11-07T02:00Z,0,N/A,1952,Donald L. Tucker Center,Tallahassee,FL,11500,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,52,s:40~l:41~t:52,Florida State,Seminoles,FSU,Florida State Seminoles,Florida State,782F40,ceb888,True,1952,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,2,57,s:40~l:41~t:57,Florida,Gators,FLA,Florida Gators,Florida,0021A5,0021a5,True,360,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,23,,,,,,,2019
