,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.isActive,away.venue.id,away.logo,away.conferenceId,away.alternateColor,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,season
0,313622506,s:40~l:41~e:313622506~c:313622506,2011-12-29T00:00Z,1175,True,False,False,False,[],2011-12-29T00:00Z,0,N/A,2046,Ross E. Templeton P.E. Center,Clinton,SC,2300.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2506,s:40~l:41~t:2506,Presbyterian,Blue Hose,PRES,Presbyterian Blue Hose,Presbyterian,194896,990134,True,2046,https://a.espncdn.com/i/teamlogos/ncaa/500/2506.png,6,349,s:40~l:41~t:349,Army,Black Knights,ARMY,Army Black Knights,Army,ce9c00,True,2186,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png,22,231f20,,,,,,,2012
0,313622368,s:40~l:41~e:313622368~c:313622368,2011-12-29T00:00Z,1454,True,False,False,False,[],2011-12-29T00:00Z,0,N/A,1934,McCann Arena,Poughkeepsie,NY,3200.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2368,s:40~l:41~t:2368,Marist,Red Foxes,MRST,Marist Red Foxes,Marist,e53730,f0f0f0,True,1934,https://a.espncdn.com/i/teamlogos/ncaa/500/2368.png,13,171,s:40~l:41~t:171,Columbia,Lions,CLMB,Columbia Lions,Columbia,174785,True,2002,https://a.espncdn.com/i/teamlogos/ncaa/500/171.png,12,004b85,,,,,,,2012
0,313622226,s:40~l:41~e:313622226~c:313622226,2011-12-29T00:00Z,2064,True,False,False,False,[],2011-12-29T00:00Z,0,N/A,2110,FAU Arena,Boca Raton,FL,2980.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2226,s:40~l:41~t:2226,Florida Atlantic,Owls,FAU,Florida Atlantic Owls,FAU,004B85,bb2f4c,True,2110,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,27,2561,s:40~l:41~t:2561,Siena,Saints,SIE,Siena Saints,Siena,037961,True,20,https://a.espncdn.com/i/teamlogos/ncaa/500/2561.png,13,eea60f,,,,,,,2012
0,313622184,s:40~l:41~e:313622184~c:313622184,2011-12-29T00:00Z,2731,True,False,False,False,[],2011-12-29T00:00Z,0,N/A,1958,UPMC Cooper Fieldhouse,Pittsburgh,PA,4390.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2184,s:40~l:41~t:2184,Duquesne,Dukes,DUQ,Duquesne Dukes,Duquesne,002D62,b90b2e,True,1958,https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,3,189,s:40~l:41~t:189,Bowling Green,Falcons,BGSU,Bowling Green Falcons,Bowling Green,2b1000,True,2220,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png,14,492000,,,,,,,2012
0,313622142,s:40~l:41~e:313622142~c:313622142,2011-12-29T00:00Z,0,True,False,False,False,[],2011-12-29T00:00Z,0,N/A,2188,Cotterell Court,Hamilton,NY,1782.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2142,s:40~l:41~t:2142,Colgate,Raiders,COLG,Colgate Raiders,Colgate,8B011D,231f20,True,2188,https://a.espncdn.com/i/teamlogos/ncaa/500/2142.png,22,2514,s:40~l:41~t:2514,Quinnipiac,Bobcats,QUIN,Quinnipiac Bobcats,Quinnipiac,041B43,True,1907,https://a.espncdn.com/i/teamlogos/ncaa/500/2514.png,19,,,,,,,,2012
0,313622083,s:40~l:41~e:313622083~c:313622083,2011-12-29T00:00Z,3348,True,False,False,False,[],2011-12-29T00:00Z,0,N/A,2208,Sojka Pavilion,Lewisburg,PA,4000.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2083,s:40~l:41~t:2083,Bucknell,Bison,BUCK,Bucknell Bison,Bucknell,000060,00316e,True,2208,https://a.espncdn.com/i/teamlogos/ncaa/500/2083.png,22,2352,s:40~l:41~t:2352,Loyola (MD),Greyhounds,L-MD,Loyola (MD) Greyhounds,Loyola (MD),76a7a0,True,2093,https://a.espncdn.com/i/teamlogos/ncaa/500/2352.png,13,c9cbca,,,,,,,2012
0,313620322,s:40~l:41~e:313620322~c:313620322,2011-12-29T00:00Z,1642,True,False,False,False,[],2011-12-29T00:00Z,0,N/A,2132,Kirby Sports Center,Easton,PA,2453.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,322,s:40~l:41~t:322,Lafayette,Leopards,LAF,Lafayette Leopards,Lafayette,790000,a59474,True,2132,https://a.espncdn.com/i/teamlogos/ncaa/500/322.png,22,2405,s:40~l:41~t:2405,Monmouth,Hawks,MONM,Monmouth Hawks,Monmouth,051844,True,2163,https://a.espncdn.com/i/teamlogos/ncaa/500/2405.png,19,,,,,,,,2012
0,313620315,s:40~l:41~e:313620315~c:313620315,2011-12-29T00:00Z,1393,True,False,False,False,[],2011-12-29T00:00Z,0,N/A,2177,Gallagher Center,Niagara Falls,NY,2400.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,315,s:40~l:41~t:315,Niagara,Purple Eagles,NIAG,Niagara Purple Eagles,Niagara,69207E,f0f0f0,True,2177,https://a.espncdn.com/i/teamlogos/ncaa/500/315.png,13,2378,s:40~l:41~t:2378,UMBC,Retrievers,UMBC,UMBC Retrievers,UMBC,000000,True,6008,https://a.espncdn.com/i/teamlogos/ncaa/500/2378.png,1,ad860a,,,,,,,2012
0,313630153,s:40~l:41~e:313630153~c:313630153,2011-12-30T00:00Z,20880,True,False,False,False,[],2011-12-30T00:00Z,0,N/A,207,Dean E. Smith Center,Chapel Hill,NC,21750.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,153,s:40~l:41~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,99bfe5,13294b,True,207,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,2210,s:40~l:41~t:2210,Elon,Phoenix,ELON,Elon Phoenix,Elon,020303,True,5725,https://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,24,b59a57,,,,,,,2012
0,313630164,s:40~l:41~e:313630164~c:313630164,2011-12-30T00:00Z,7855,True,False,False,False,[],2011-12-30T00:00Z,0,N/A,2008,Rutgers Athletic Center,Piscataway,NJ,8000.0,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final/2OT,Final/2OT,164,s:40~l:41~t:164,Rutgers,Scarlet Knights,RUTG,Rutgers Scarlet Knights,Rutgers,d21034,ffffff,True,2008,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,4,57,s:40~l:41~t:57,Florida,Gators,FLA,Florida Gators,Florida,0021A5,True,360,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,23,0021a5,2OT,,,,,,2012
