,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,situation.lastPlay.id,situation.lastPlay.type.id,situation.lastPlay.type.text,situation.lastPlay.text,situation.lastPlay.scoreValue,situation.lastPlay.probability.tiePercentage,situation.lastPlay.probability.homeWinPercentage,situation.lastPlay.probability.awayWinPercentage,odds,tickets,season
0,401260307,s:40~l:41~e:401260307~c:401260307,2021-02-27T17:00Z,0,True,False,True,False,[],2021-02-27T17:00Z,0,N/A,2119,Cassell Coliseum,Blacksburg,VA,9275.0,True,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, February 27th at 12:00 PM EST",2/27 - 12:00 PM EST,259,s:40~l:41~t:259,Virginia Tech,Hokies,VT,Virginia Tech Hokies,Virginia Tech,74232D,c2c1ba,True,2119,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,2,154,s:40~l:41~t:154,Wake Forest,Demon Deacons,WAKE,Wake Forest Demon Deacons,Wake Forest,9E7E38,000000,True,2120,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,2,,2,Atlantic Coast Conference,ACC,True,,,,,,,,,,,2021
0,401258829,s:40~l:41~e:401258829~c:401258829,2021-02-27T17:00Z,0,True,False,True,False,[],2021-02-27T17:00Z,0,N/A,1953,Auburn Arena,Auburn,AL,9121.0,True,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, February 27th at 12:00 PM EST",2/27 - 12:00 PM EST,2,s:40~l:41~t:2,Auburn,Tigers,AUB,Auburn Tigers,Auburn,03244d,f1f2f3,True,1953,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,23,2633,s:40~l:41~t:2633,Tennessee,Volunteers,TENN,Tennessee Volunteers,Tennessee,EE9627,ffffff,True,2044,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,23,,23,Southeastern Conference,SEC,True,,,,,,,,,,"[{'summary': 'Tickets as low as $267', 'numberAvailable': 4, 'links': [{'href': 'https://www.vividseats.com/ncaab/auburn-tigers-tickets/auburn-2-27-3539014.html?wsUser=717'}, {'href': 'https://www.vividseats.com/venues/auburn-arena-tickets.html?wsUser=717'}]}]",2021
0,401286849,s:40~l:41~e:401286849~c:401286849,2021-02-27T17:00Z,0,True,False,True,False,[],2021-02-27T17:00Z,0,N/A,2093,Reitz Arena,Baltimore,MD,2100.0,True,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, February 27th at 12:00 PM EST",2/27 - 12:00 PM EST,2352,s:40~l:41~t:2352,Loyola (MD),Greyhounds,L-MD,Loyola (MD) Greyhounds,Loyola (MD),76a7a0,c9cbca,True,2093,https://a.espncdn.com/i/teamlogos/ncaa/500/2352.png,22,2426,s:40~l:41~t:2426,Navy,Midshipmen,NAVY,Navy Midshipmen,Navy,131630,b6a77c,True,2176,https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,22,,22,Patriot League,Patriot,True,,,,,,,,,,,2021
0,401286847,s:40~l:41~e:401286847~c:401286847,2021-02-27T17:00Z,0,True,False,True,False,[],2021-02-27T17:00Z,0,N/A,2186,Christl Arena,West Point,NY,5043.0,True,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, February 27th at 12:00 PM EST",2/27 - 12:00 PM EST,349,s:40~l:41~t:349,Army,Black Knights,ARMY,Army Black Knights,Army,ce9c00,231f20,True,2186,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png,22,104,s:40~l:41~t:104,Boston University,Terriers,BU,Boston University Terriers,Boston U,cc0000,ffffff,True,1999,https://a.espncdn.com/i/teamlogos/ncaa/500/104.png,22,,22,Patriot League,Patriot,True,,,,,,,,,,,2021
0,401269660,s:40~l:41~e:401269660~c:401269660,2021-02-27T17:00Z,0,True,False,True,False,[],2021-02-27T17:00Z,0,N/A,5427,Wintrust Arena,Chicago,IL,10387.0,True,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, February 27th at 12:00 PM EST",2/27 - 12:00 PM EST,305,s:40~l:41~t:305,DePaul,Blue Demons,DEP,DePaul Blue Demons,DePaul,2d649c,ce1125,True,5427,https://a.espncdn.com/i/teamlogos/ncaa/500/305.png,4,46,s:40~l:41~t:46,Georgetown,Hoyas,GTWN,Georgetown Hoyas,Georgetown,110E42,001c58,True,1823,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png,4,,4,Big East Conference,Big East,True,,,,,,,,,,,2021
0,401260306,s:40~l:41~e:401260306~c:401260306,2021-02-27T17:00Z,0,True,False,True,False,[],2021-02-27T17:00Z,0,N/A,2206,McCamish Pavilion,Atlanta,GA,8600.0,True,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, February 27th at 12:00 PM EST",2/27 - 12:00 PM EST,59,s:40~l:41~t:59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56,True,2206,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,2,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,F37321,0d1d37,True,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,2,,2,Atlantic Coast Conference,ACC,True,,,,,,,,,,,2021
0,401252883,s:40~l:41~e:401252883~c:401252883,2021-02-27T17:00Z,0,True,False,True,False,[],2021-02-27T17:00Z,0,N/A,2200,Kaplan Arena,Williamsburg,VA,8600.0,True,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, February 27th at 12:00 PM EST",2/27 - 12:00 PM EST,2729,s:40~l:41~t:2729,William & Mary,Tribe,W&M,William & Mary Tribe,William & Mary,103217,f6b220,True,2200,https://a.espncdn.com/i/teamlogos/ncaa/500/2729.png,10,111,s:40~l:41~t:111,Northeastern,Huskies,NE,Northeastern Huskies,Northeastern,CC0001,c2c3c0,True,1219,https://a.espncdn.com/i/teamlogos/ncaa/500/111.png,10,,10,Colonial Athletic Association,CAA,True,,,,,,,,,,,2021
0,401287458,s:40~l:41~e:401287458~c:401287458,2021-02-28T05:00Z,0,False,False,True,False,[],2021-02-28T05:00Z,0,N/A,5420,NJIT Wellness and Events Center,Newark,NJ,3500.0,True,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,2/28 - TBD,TBD,2885,s:40~l:41~t:2885,NJIT,Highlanders,NJIT,NJIT Highlanders,NJIT,EE3024,df3e2e,True,5420,https://a.espncdn.com/i/teamlogos/ncaa/500/2885.png,1,160,s:40~l:41~t:160,New Hampshire,Wildcats,UNH,New Hampshire Wildcats,New Hampshire,004990,c3c4c6,True,1936,https://a.espncdn.com/i/teamlogos/ncaa/500/160.png,1,,1,America East Conference,Am. East,True,,,,,,,,,,,2021
0,401286855,s:40~l:41~e:401286855~c:401286855,2021-02-28T05:00Z,0,False,False,True,False,[],2021-02-28T05:00Z,0,N/A,2188,Cotterell Court,Hamilton,NY,1782.0,True,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,2/28 - TBD,TBD,2142,s:40~l:41~t:2142,Colgate,Raiders,COLG,Colgate Raiders,Colgate,8B011D,231f20,True,2188,https://a.espncdn.com/i/teamlogos/ncaa/500/2142.png,22,107,s:40~l:41~t:107,Holy Cross,Crusaders,HC,Holy Cross Crusaders,Holy Cross,0a0a0a,080808,True,137,https://a.espncdn.com/i/teamlogos/ncaa/500/107.png,22,,22,Patriot League,Patriot,True,,,,,,,,,,,2021
0,401263381,s:40~l:41~e:401263381~c:401263381,2021-02-28T05:00Z,0,False,False,True,False,[],2021-02-28T05:00Z,0,N/A,4569,Pinnacle Bank Arena,Lincoln,NE,15500.0,True,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,2/28 - TBD,TBD,158,s:40~l:41~t:158,Nebraska,Cornhuskers,NEB,Nebraska Cornhuskers,Nebraska,F20017,f5f1e7,True,4569,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,7,164,s:40~l:41~t:164,Rutgers,Scarlet Knights,RUTG,Rutgers Scarlet Knights,Rutgers,d21034,ffffff,True,2008,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,7,,7,Big Ten Conference,Big Ten,True,,,,,,,,,,,2021
